Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA12,EMA26,MACD,Date
1210.0,1235.0,1175.0,1230.0,826343,0.0,0.0,1213.8314050528672,1170.1167887104916,43.71461634237562,2023-10-19 00:00:00
1235.0,1280.0,1220.0,1265.0,2293501,0.0,0.0,1221.7034965831951,1177.1451747319368,44.55832185125837,2023-10-20 00:00:00
1250.0,1280.0,1200.0,1210.0,1307335,0.0,0.0,1219.9029586473189,1179.578865492534,40.324093154784805,2023-10-23 00:00:00
1235.0,1280.0,1230.0,1270.0,1785403,0.0,0.0,1227.6101957785006,1186.276727307902,41.33346847059852,2023-10-24 00:00:00
1285.0,1395.0,1260.0,1325.0,3204622,0.0,0.0,1242.5932425818082,1196.5525252850944,46.040717296713865,2023-10-25 00:00:00
1280.0,1305.0,1240.0,1240.0,1784553,0.0,0.0,1242.194282184607,1199.7708567454579,42.423425439149014,2023-10-26 00:00:00
1250.0,1290.0,1240.0,1270.0,1269055,0.0,0.0,1246.4720849254368,1204.9730155050536,41.499069420383194,2023-10-27 00:00:00
1275.0,1390.0,1270.0,1345.0,2416388,0.0,0.0,1261.6302257061388,1215.3453847269013,46.284840979237515,2023-10-30 00:00:00
1350.0,1395.0,1300.0,1315.0,1813088,0.0,0.0,1269.8409602128868,1222.7272080804642,47.11375213242263,2023-10-31 00:00:00
1355.0,1360.0,1280.0,1310.0,1231103,0.0,0.0,1276.0192740262887,1229.191859333763,46.827414692525736,2023-11-01 00:00:00
1365.0,1365.0,1305.0,1315.0,1472323,0.0,0.0,1282.016308791475,1235.5480179016324,46.46829088984259,2023-11-02 00:00:00
1325.0,1335.0,1230.0,1235.0,1892524,0.0,0.0,1274.7830305158634,1235.507423982993,39.27560653287037,2023-11-03 00:00:00
1250.0,1320.0,1245.0,1310.0,1380248,0.0,0.0,1280.2010258211153,1241.0253925768454,39.175633244269875,2023-11-06 00:00:00
1300.0,1355.0,1290.0,1350.0,1212279,0.0,0.0,1290.9393295409436,1249.0975857193014,41.84174382164224,2023-11-07 00:00:00
1360.0,1375.0,1325.0,1370.0,1071166,0.0,0.0,1303.1025096115677,1258.0533201104643,45.049189501103456,2023-11-08 00:00:00
1380.0,1420.0,1345.0,1360.0,2111425,0.0,0.0,1311.8559696713266,1265.6049260282075,46.25104364311915,2023-11-09 00:00:00
1355.0,1390.0,1340.0,1390.0,1079350,0.0,0.0,1323.8781281834301,1274.819375952044,49.05875223138605,2023-11-10 00:00:00
1420.0,1460.0,1405.0,1445.0,1560340,0.0,0.0,1342.5122623090563,1287.4253481037445,55.086914205311814,2023-11-13 00:00:00
1455.0,1585.0,1455.0,1540.0,2379891,0.0,0.0,1372.894991184586,1306.1345815775412,66.76040960704472,2023-11-14 00:00:00
1585.0,1600.0,1480.0,1500.0,1648304,0.0,0.0,1392.4496079254188,1320.4949829421678,71.95462498325105,2023-11-15 00:00:00
1515.0,1550.0,1475.0,1550.0,1030682,0.0,0.0,1416.6881297830469,1337.4953545760814,79.1927752069655,2023-11-16 00:00:00
1565.0,1580.0,1515.0,1525.0,1066160,0.0,0.0,1433.351494431809,1351.3845875704458,81.96690686136321,2023-11-17 00:00:00
1525.0,1540.0,1480.0,1490.0,884084,0.0,0.0,1442.0666491346076,1361.652395898561,80.41425323604653,2023-11-20 00:00:00
1505.0,1510.0,1480.0,1495.0,773132,0.0,0.0,1450.210241575437,1371.5299962023712,78.68024537306587,2023-11-21 00:00:00
